Date,Category,Type,Amount,City,Province,Country,Latitude,Longitude,PaymentMode,TransactionID
2025-09-28,Entertainment,Expense,108.05,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-813328
2026-01-20,Healthcare,Expense,114.06,Detroit,Michigan,United States,42.3314,-83.0458,Credit Card,TXN-407757
2025-01-02,Entertainment,Expense,381.99,Detroit,Michigan,United States,42.3314,-83.0458,Debit Card,TXN-632342
2026-03-07,Investments,Income,259.19,Ottawa,Ontario,Canada,45.4215,-75.6972,Debit Card,TXN-260263
2025-10-04,Utilities,Expense,381.86,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-728038
2025-02-27,Rent,Expense,1200.0,Detroit,Michigan,United States,42.3314,-83.0458,E-Transfer,TXN-351083
2025-02-13,Groceries,Expense,295.44,Windsor,Ontario,Canada,42.3149,-83.0364,Debit Card,TXN-234628
2025-03-26,Healthcare,Expense,113.37,Ottawa,Ontario,Canada,45.4215,-75.6972,Cash,TXN-322086
2026-01-01,Freelance,Income,131.57,Detroit,Michigan,United States,42.3314,-83.0458,Cash,TXN-642717
2025-04-26,Dining,Expense,34.97,Windsor,Ontario,Canada,42.3149,-83.0364,Debit Card,TXN-717024
2025-12-29,Groceries,Expense,256.13,Toronto,Ontario,Canada,43.6532,-79.3832,Credit Card,TXN-132938
2025-09-21,Salary,Income,2447.6,Kitchener,Ontario,Canada,43.4516,-80.4925,Debit Card,TXN-665427
2025-05-05,Entertainment,Expense,316.0,Kitchener,Ontario,Canada,43.4516,-80.4925,Debit Card,TXN-198907
2025-07-01,Cybersecurity,Expense,175.2,Kitchener,Ontario,Canada,43.4516,-80.4925,Credit Card,TXN-806073
2025-02-01,Groceries,Expense,167.02,Detroit,Michigan,United States,42.3314,-83.0458,Credit Card,TXN-360735
2025-08-18,Healthcare,Expense,64.67,Toronto,Ontario,Canada,43.6532,-79.3832,E-Transfer,TXN-585100
2025-08-15,Groceries,Expense,325.13,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-153045
2026-03-05,Healthcare,Expense,15.76,Windsor,Ontario,Canada,42.3149,-83.0364,Debit Card,TXN-274389
2025-04-20,Entertainment,Expense,347.21,Windsor,Ontario,Canada,42.3149,-83.0364,Debit Card,TXN-497382
2025-05-16,Cybersecurity,Expense,371.34,Kitchener,Ontario,Canada,43.4516,-80.4925,E-Transfer,TXN-543555
2025-12-05,Healthcare,Expense,290.18,Toronto,Ontario,Canada,43.6532,-79.3832,Debit Card,TXN-411120
2025-10-24,Rent,Expense,1200.0,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-884309
2025-10-27,Rent,Expense,1200.0,Kitchener,Ontario,Canada,43.4516,-80.4925,Debit Card,TXN-159642
2026-03-12,Salary,Income,2437.16,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-808011
2025-03-03,Gift,Income,377.22,Ottawa,Ontario,Canada,45.4215,-75.6972,Debit Card,TXN-707040
2025-08-03,Groceries,Expense,266.38,Ottawa,Ontario,Canada,45.4215,-75.6972,E-Transfer,TXN-373432
2025-05-03,Transport,Expense,113.59,Toronto,Ontario,Canada,43.6532,-79.3832,E-Transfer,TXN-579434
2025-01-05,Groceries,Expense,188.73,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-176819
2025-05-16,Healthcare,Expense,61.66,Detroit,Michigan,United States,42.3314,-83.0458,Credit Card,TXN-356150
2025-08-13,Utilities,Expense,335.16,Detroit,Michigan,United States,42.3314,-83.0458,Credit Card,TXN-800305
2025-12-06,Tech,Expense,50.4,Toronto,Ontario,Canada,43.6532,-79.3832,E-Transfer,TXN-221035
2025-05-20,Freelance,Income,119.88,Toronto,Ontario,Canada,43.6532,-79.3832,E-Transfer,TXN-313487
2025-09-16,Tech,Expense,200.53,Windsor,Ontario,Canada,42.3149,-83.0364,Credit Card,TXN-765095
2025-01-23,Tech,Expense,11.38,Toronto,Ontario,Canada,43.6532,-79.3832,E-Transfer,TXN-269430
2025-12-28,Healthcare,Expense,176.8,Windsor,Ontario,Canada,42.3149,-83.0364,Credit Card,TXN-178898
2025-10-07,Freelance,Income,24.05,Detroit,Michigan,United States,42.3314,-83.0458,Debit Card,TXN-550664
2025-07-06,Tech,Expense,360.6,Windsor,Ontario,Canada,42.3149,-83.0364,E-Transfer,TXN-320281
2025-07-01,Groceries,Expense,314.25,Kitchener,Ontario,Canada,43.4516,-80.4925,Debit Card,TXN-348237
2025-07-31,Freelance,Income,19.67,Detroit,Michigan,United States,42.3314,-83.0458,Cash,TXN-941204
2025-05-17,Dining,Expense,72.09,Windsor,Ontario,Canada,42.3149,-83.0364,Cash,TXN-140605
2025-04-13,Freelance,Income,328.47,Kitchener,Ontario,Canada,43.4516,-80.4925,E-Transfer,TXN-420015
2025-04-25,Freelance,Income,19.23,Toronto,Ontario,Canada,43.6532,-79.3832,Cash,TXN-444207
2026-01-31,Groceries,Expense,118.86,Ottawa,Ontario,Canada,45.4215,-75.6972,Cash,TXN-812526
2025-01-15,Investments,Income,54.98,Detroit,Michigan,United States,42.3314,-83.0458,Debit Card,TXN-708792
2025-01-20,Investments,Income,52.28,Kitchener,Ontario,Canada,43.4516,-80.4925,E-Transfer,TXN-863934
2025-11-07,Cybersecurity,Expense,393.85,Windsor,Ontario,Canada,42.3149,-83.0364,Cash,TXN-704596
2025-12-29,Rent,Expense,1200.0,Kitchener,Ontario,Canada,43.4516,-80.4925,Credit Card,TXN-645175
2025-07-06,Freelance,Income,178.21,Detroit,Michigan,United States,42.3314,-83.0458,E-Transfer,TXN-795612
2025-09-17,Investments,Income,130.62,Kitchener,Ontario,Canada,43.4516,-80.4925,E-Transfer,TXN-521947
2025-03-07,Healthcare,Expense,84.82,Kitchener,Ontario,Canada,43.4516,-80.4925,Debit Card,TXN-745414
2025-10-08,Cybersecurity,Expense,335.15,Detroit,Michigan,United States,42.3314,-83.0458,E-Transfer,TXN-320392
2025-08-27,Transport,Expense,182.3,Toronto,Ontario,Canada,43.6532,-79.3832,Cash,TXN-932291
2025-12-04,Freelance,Income,43.07,Ottawa,Ontario,Canada,45.4215,-75.6972,E-Transfer,TXN-197923
2025-12-11,Dining,Expense,131.06,Toronto,Ontario,Canada,43.6532,-79.3832,Debit Card,TXN-125611
2025-11-09,Entertainment,Expense,341.4,Windsor,Ontario,Canada,42.3149,-83.0364,Cash,TXN-534572
2026-01-03,Freelance,Income,281.58,Kitchener,Ontario,Canada,43.4516,-80.4925,Cash,TXN-355836
2026-01-20,Rent,Expense,1200.0,Windsor,Ontario,Canada,42.3149,-83.0364,Cash,TXN-329471
2025-08-26,Healthcare,Expense,29.59,Toronto,Ontario,Canada,43.6532,-79.3832,Credit Card,TXN-578634
2025-12-08,Entertainment,Expense,217.14,Ottawa,Ontario,Canada,45.4215,-75.6972,E-Transfer,TXN-891937
2026-03-02,Gift,Income,363.67,Kitchener,Ontario,Canada,43.4516,-80.4925,Debit Card,TXN-879779
2025-05-13,Gift,Income,303.19,Detroit,Michigan,United States,42.3314,-83.0458,Cash,TXN-757193
2025-02-09,Entertainment,Expense,288.28,Toronto,Ontario,Canada,43.6532,-79.3832,E-Transfer,TXN-452161
2025-02-11,Healthcare,Expense,63.97,Toronto,Ontario,Canada,43.6532,-79.3832,Cash,TXN-827659
2025-02-02,Dining,Expense,171.8,Detroit,Michigan,United States,42.3314,-83.0458,Cash,TXN-535970
2025-07-19,Cybersecurity,Expense,362.89,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-998348
2025-09-02,Gift,Income,12.3,Detroit,Michigan,United States,42.3314,-83.0458,E-Transfer,TXN-890075
2025-10-03,Cybersecurity,Expense,301.53,Ottawa,Ontario,Canada,45.4215,-75.6972,Debit Card,TXN-611945
2025-09-06,Cybersecurity,Expense,21.32,Detroit,Michigan,United States,42.3314,-83.0458,Cash,TXN-859359
2025-03-07,Entertainment,Expense,392.48,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-513160
2025-02-12,Rent,Expense,1200.0,Kitchener,Ontario,Canada,43.4516,-80.4925,Debit Card,TXN-584125
2025-07-14,Tech,Expense,137.67,Kitchener,Ontario,Canada,43.4516,-80.4925,E-Transfer,TXN-453894
2025-05-23,Cybersecurity,Expense,303.28,Kitchener,Ontario,Canada,43.4516,-80.4925,E-Transfer,TXN-975467
2026-01-19,Rent,Expense,1200.0,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-466960
2026-02-04,Groceries,Expense,383.34,Windsor,Ontario,Canada,42.3149,-83.0364,Credit Card,TXN-359295
2025-11-15,Rent,Expense,1200.0,Toronto,Ontario,Canada,43.6532,-79.3832,Debit Card,TXN-232352
2025-10-16,Groceries,Expense,379.63,Kitchener,Ontario,Canada,43.4516,-80.4925,E-Transfer,TXN-904150
2026-02-03,Groceries,Expense,329.53,Detroit,Michigan,United States,42.3314,-83.0458,Credit Card,TXN-706794
2025-10-22,Tech,Expense,274.17,Kitchener,Ontario,Canada,43.4516,-80.4925,Cash,TXN-849747
2025-02-22,Dining,Expense,281.91,Detroit,Michigan,United States,42.3314,-83.0458,Credit Card,TXN-934904
2025-06-27,Salary,Income,2506.55,Detroit,Michigan,United States,42.3314,-83.0458,Credit Card,TXN-630538
2026-03-11,Rent,Expense,1200.0,Kitchener,Ontario,Canada,43.4516,-80.4925,Cash,TXN-210665
2025-11-22,Transport,Expense,357.71,Kitchener,Ontario,Canada,43.4516,-80.4925,Debit Card,TXN-556641
2025-11-30,Healthcare,Expense,115.33,Ottawa,Ontario,Canada,45.4215,-75.6972,Cash,TXN-587455
2025-06-15,Tech,Expense,342.17,Windsor,Ontario,Canada,42.3149,-83.0364,E-Transfer,TXN-572700
2025-10-19,Entertainment,Expense,248.03,Kitchener,Ontario,Canada,43.4516,-80.4925,E-Transfer,TXN-130094
2025-04-04,Transport,Expense,200.14,Detroit,Michigan,United States,42.3314,-83.0458,E-Transfer,TXN-456871
2025-10-12,Tech,Expense,13.96,Toronto,Ontario,Canada,43.6532,-79.3832,Credit Card,TXN-353080
2025-10-12,Entertainment,Expense,305.68,Kitchener,Ontario,Canada,43.4516,-80.4925,Cash,TXN-569945
2025-05-31,Groceries,Expense,96.42,Toronto,Ontario,Canada,43.6532,-79.3832,E-Transfer,TXN-796212
2025-10-11,Entertainment,Expense,217.06,Kitchener,Ontario,Canada,43.4516,-80.4925,E-Transfer,TXN-468900
2025-06-06,Tech,Expense,108.05,Windsor,Ontario,Canada,42.3149,-83.0364,Debit Card,TXN-430876
2026-01-26,Healthcare,Expense,279.16,Toronto,Ontario,Canada,43.6532,-79.3832,Debit Card,TXN-874483
2025-11-02,Healthcare,Expense,120.37,Windsor,Ontario,Canada,42.3149,-83.0364,Debit Card,TXN-410636
2025-06-04,Utilities,Expense,15.52,Ottawa,Ontario,Canada,45.4215,-75.6972,Debit Card,TXN-387636
2025-10-11,Rent,Expense,1200.0,Detroit,Michigan,United States,42.3314,-83.0458,Debit Card,TXN-768854
2025-02-22,Gift,Income,350.36,Ottawa,Ontario,Canada,45.4215,-75.6972,E-Transfer,TXN-592198
2025-04-05,Transport,Expense,386.54,Detroit,Michigan,United States,42.3314,-83.0458,Cash,TXN-219629
2025-09-09,Gift,Income,38.89,Windsor,Ontario,Canada,42.3149,-83.0364,Debit Card,TXN-256445
2025-02-13,Tech,Expense,397.63,Windsor,Ontario,Canada,42.3149,-83.0364,Cash,TXN-735770
2026-02-02,Dining,Expense,213.8,Kitchener,Ontario,Canada,43.4516,-80.4925,Cash,TXN-411797
2025-06-06,Gift,Income,231.77,Windsor,Ontario,Canada,42.3149,-83.0364,Credit Card,TXN-899787
2025-05-16,Dining,Expense,267.57,Toronto,Ontario,Canada,43.6532,-79.3832,Debit Card,TXN-282256
2025-01-02,Utilities,Expense,169.32,Ottawa,Ontario,Canada,45.4215,-75.6972,Cash,TXN-405407
2025-12-28,Tech,Expense,120.26,Kitchener,Ontario,Canada,43.4516,-80.4925,Credit Card,TXN-820775
2026-02-08,Tech,Expense,318.59,Ottawa,Ontario,Canada,45.4215,-75.6972,Debit Card,TXN-545790
2025-11-28,Dining,Expense,68.11,Detroit,Michigan,United States,42.3314,-83.0458,Debit Card,TXN-174878
2025-11-01,Tech,Expense,302.09,Ottawa,Ontario,Canada,45.4215,-75.6972,E-Transfer,TXN-560485
2025-12-25,Tech,Expense,166.98,Detroit,Michigan,United States,42.3314,-83.0458,Cash,TXN-559023
2025-08-10,Rent,Expense,1200.0,Detroit,Michigan,United States,42.3314,-83.0458,E-Transfer,TXN-127121
2026-01-27,Rent,Expense,1200.0,Detroit,Michigan,United States,42.3314,-83.0458,Credit Card,TXN-900177
2025-09-23,Entertainment,Expense,264.09,Detroit,Michigan,United States,42.3314,-83.0458,Debit Card,TXN-713762
2025-02-16,Entertainment,Expense,193.3,Kitchener,Ontario,Canada,43.4516,-80.4925,E-Transfer,TXN-436653
2025-06-18,Utilities,Expense,170.54,Kitchener,Ontario,Canada,43.4516,-80.4925,E-Transfer,TXN-794769
2025-08-21,Salary,Income,2417.61,Detroit,Michigan,United States,42.3314,-83.0458,E-Transfer,TXN-221552
2026-03-19,Gift,Income,210.69,Windsor,Ontario,Canada,42.3149,-83.0364,Cash,TXN-533321
2025-07-05,Healthcare,Expense,252.83,Kitchener,Ontario,Canada,43.4516,-80.4925,Cash,TXN-896907
2025-10-09,Tech,Expense,61.1,Detroit,Michigan,United States,42.3314,-83.0458,Cash,TXN-832168
2025-11-19,Rent,Expense,1200.0,Ottawa,Ontario,Canada,45.4215,-75.6972,Debit Card,TXN-844261
2025-01-08,Healthcare,Expense,225.38,Windsor,Ontario,Canada,42.3149,-83.0364,Debit Card,TXN-982277
2025-03-02,Gift,Income,262.61,Toronto,Ontario,Canada,43.6532,-79.3832,Cash,TXN-851413
2025-08-01,Tech,Expense,335.54,Kitchener,Ontario,Canada,43.4516,-80.4925,Debit Card,TXN-578975
2025-04-08,Cybersecurity,Expense,369.53,Ottawa,Ontario,Canada,45.4215,-75.6972,Debit Card,TXN-173201
2025-06-24,Cybersecurity,Expense,374.36,Ottawa,Ontario,Canada,45.4215,-75.6972,E-Transfer,TXN-960408
2026-03-05,Tech,Expense,238.91,Kitchener,Ontario,Canada,43.4516,-80.4925,Debit Card,TXN-568238
2025-06-20,Transport,Expense,225.25,Ottawa,Ontario,Canada,45.4215,-75.6972,Cash,TXN-577463
2025-12-24,Freelance,Income,103.13,Kitchener,Ontario,Canada,43.4516,-80.4925,Debit Card,TXN-997594
2025-06-12,Rent,Expense,1200.0,Kitchener,Ontario,Canada,43.4516,-80.4925,Cash,TXN-504832
2025-09-11,Freelance,Income,386.28,Toronto,Ontario,Canada,43.6532,-79.3832,E-Transfer,TXN-205239
2025-02-21,Gift,Income,215.12,Kitchener,Ontario,Canada,43.4516,-80.4925,Credit Card,TXN-857537
2025-02-08,Utilities,Expense,193.1,Detroit,Michigan,United States,42.3314,-83.0458,E-Transfer,TXN-753534
2026-03-13,Groceries,Expense,138.14,Ottawa,Ontario,Canada,45.4215,-75.6972,Cash,TXN-432043
2026-03-23,Entertainment,Expense,221.0,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-346174
2025-04-27,Tech,Expense,301.24,Kitchener,Ontario,Canada,43.4516,-80.4925,Credit Card,TXN-897305
2025-08-16,Groceries,Expense,74.88,Detroit,Michigan,United States,42.3314,-83.0458,Credit Card,TXN-148225
2025-05-31,Rent,Expense,1200.0,Detroit,Michigan,United States,42.3314,-83.0458,E-Transfer,TXN-551607
2025-07-30,Healthcare,Expense,230.71,Toronto,Ontario,Canada,43.6532,-79.3832,Debit Card,TXN-283573
2025-11-14,Cybersecurity,Expense,276.42,Kitchener,Ontario,Canada,43.4516,-80.4925,Debit Card,TXN-343467
2025-08-24,Tech,Expense,109.58,Windsor,Ontario,Canada,42.3149,-83.0364,Cash,TXN-401603
2025-02-07,Utilities,Expense,182.27,Detroit,Michigan,United States,42.3314,-83.0458,E-Transfer,TXN-769975
2025-08-22,Investments,Income,339.67,Toronto,Ontario,Canada,43.6532,-79.3832,Cash,TXN-994787
2025-07-15,Dining,Expense,233.05,Ottawa,Ontario,Canada,45.4215,-75.6972,E-Transfer,TXN-833247
2025-05-21,Cybersecurity,Expense,13.16,Windsor,Ontario,Canada,42.3149,-83.0364,Cash,TXN-973294
2026-02-02,Investments,Income,321.56,Ottawa,Ontario,Canada,45.4215,-75.6972,E-Transfer,TXN-329642
2025-12-14,Tech,Expense,304.68,Toronto,Ontario,Canada,43.6532,-79.3832,Credit Card,TXN-757937
2026-02-08,Tech,Expense,181.92,Ottawa,Ontario,Canada,45.4215,-75.6972,E-Transfer,TXN-867934
2025-06-17,Tech,Expense,301.52,Toronto,Ontario,Canada,43.6532,-79.3832,Debit Card,TXN-238579
2025-09-29,Transport,Expense,205.7,Detroit,Michigan,United States,42.3314,-83.0458,Debit Card,TXN-369452
2026-02-17,Gift,Income,125.11,Detroit,Michigan,United States,42.3314,-83.0458,Credit Card,TXN-591081
2026-01-22,Freelance,Income,386.94,Kitchener,Ontario,Canada,43.4516,-80.4925,E-Transfer,TXN-194689
2025-05-16,Rent,Expense,1200.0,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-576877
2025-10-27,Tech,Expense,158.6,Detroit,Michigan,United States,42.3314,-83.0458,Credit Card,TXN-807617
2025-11-14,Rent,Expense,1200.0,Ottawa,Ontario,Canada,45.4215,-75.6972,E-Transfer,TXN-739717
2025-11-22,Groceries,Expense,331.3,Detroit,Michigan,United States,42.3314,-83.0458,Cash,TXN-222343
2025-06-05,Rent,Expense,1200.0,Kitchener,Ontario,Canada,43.4516,-80.4925,Credit Card,TXN-201913
2025-03-11,Healthcare,Expense,161.57,Detroit,Michigan,United States,42.3314,-83.0458,Cash,TXN-715870
2025-08-01,Utilities,Expense,265.42,Kitchener,Ontario,Canada,43.4516,-80.4925,Cash,TXN-393328
2025-04-22,Transport,Expense,182.92,Toronto,Ontario,Canada,43.6532,-79.3832,E-Transfer,TXN-204180
2025-10-06,Investments,Income,361.66,Detroit,Michigan,United States,42.3314,-83.0458,Credit Card,TXN-517479
2026-03-11,Groceries,Expense,331.43,Windsor,Ontario,Canada,42.3149,-83.0364,Debit Card,TXN-772875
2025-01-26,Rent,Expense,1200.0,Detroit,Michigan,United States,42.3314,-83.0458,Debit Card,TXN-232040
2025-02-05,Dining,Expense,333.63,Ottawa,Ontario,Canada,45.4215,-75.6972,Debit Card,TXN-714867
2025-06-18,Dining,Expense,312.0,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-390743
2025-03-08,Freelance,Income,220.68,Toronto,Ontario,Canada,43.6532,-79.3832,Credit Card,TXN-793169
2025-01-08,Freelance,Income,149.71,Toronto,Ontario,Canada,43.6532,-79.3832,E-Transfer,TXN-116547
2025-03-06,Rent,Expense,1200.0,Kitchener,Ontario,Canada,43.4516,-80.4925,Credit Card,TXN-881886
2026-02-03,Entertainment,Expense,151.2,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-573962
2026-01-08,Rent,Expense,1200.0,Ottawa,Ontario,Canada,45.4215,-75.6972,E-Transfer,TXN-580292
2025-02-01,Rent,Expense,1200.0,Kitchener,Ontario,Canada,43.4516,-80.4925,Cash,TXN-546980
2025-12-31,Entertainment,Expense,364.78,Windsor,Ontario,Canada,42.3149,-83.0364,Credit Card,TXN-437758
2025-03-06,Groceries,Expense,117.26,Ottawa,Ontario,Canada,45.4215,-75.6972,E-Transfer,TXN-499407
2025-08-21,Investments,Income,207.16,Kitchener,Ontario,Canada,43.4516,-80.4925,Credit Card,TXN-931621
2026-01-05,Healthcare,Expense,347.54,Kitchener,Ontario,Canada,43.4516,-80.4925,Cash,TXN-339592
2025-07-24,Entertainment,Expense,172.24,Windsor,Ontario,Canada,42.3149,-83.0364,E-Transfer,TXN-547494
2025-07-11,Tech,Expense,381.9,Kitchener,Ontario,Canada,43.4516,-80.4925,Credit Card,TXN-195656
2025-08-10,Salary,Income,2419.31,Detroit,Michigan,United States,42.3314,-83.0458,Debit Card,TXN-683397
2025-10-15,Healthcare,Expense,138.56,Windsor,Ontario,Canada,42.3149,-83.0364,Cash,TXN-470774
2026-03-21,Gift,Income,367.18,Windsor,Ontario,Canada,42.3149,-83.0364,E-Transfer,TXN-729575
2025-10-23,Groceries,Expense,207.89,Toronto,Ontario,Canada,43.6532,-79.3832,Cash,TXN-335137
2026-03-09,Investments,Income,226.94,Windsor,Ontario,Canada,42.3149,-83.0364,E-Transfer,TXN-701987
2026-03-09,Cybersecurity,Expense,228.78,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-738577
2025-01-15,Investments,Income,80.36,Detroit,Michigan,United States,42.3314,-83.0458,E-Transfer,TXN-468074
2025-10-17,Utilities,Expense,266.36,Windsor,Ontario,Canada,42.3149,-83.0364,Debit Card,TXN-876962
2025-02-16,Rent,Expense,1200.0,Ottawa,Ontario,Canada,45.4215,-75.6972,Debit Card,TXN-494468
2025-03-22,Transport,Expense,154.32,Detroit,Michigan,United States,42.3314,-83.0458,Credit Card,TXN-155164
2025-12-12,Rent,Expense,1200.0,Windsor,Ontario,Canada,42.3149,-83.0364,E-Transfer,TXN-564637
2025-11-07,Entertainment,Expense,182.4,Detroit,Michigan,United States,42.3314,-83.0458,Debit Card,TXN-891615
2025-08-09,Transport,Expense,53.25,Ottawa,Ontario,Canada,45.4215,-75.6972,Cash,TXN-652530
2025-04-23,Rent,Expense,1200.0,Kitchener,Ontario,Canada,43.4516,-80.4925,Credit Card,TXN-108060
2026-01-28,Dining,Expense,63.52,Detroit,Michigan,United States,42.3314,-83.0458,E-Transfer,TXN-444061
2026-01-18,Entertainment,Expense,177.96,Toronto,Ontario,Canada,43.6532,-79.3832,Cash,TXN-658453
2025-10-14,Healthcare,Expense,335.01,Detroit,Michigan,United States,42.3314,-83.0458,Credit Card,TXN-516359
2025-08-12,Salary,Income,2403.75,Windsor,Ontario,Canada,42.3149,-83.0364,E-Transfer,TXN-703727
2025-12-30,Cybersecurity,Expense,259.66,Detroit,Michigan,United States,42.3314,-83.0458,Credit Card,TXN-524707
2025-03-29,Transport,Expense,322.52,Ottawa,Ontario,Canada,45.4215,-75.6972,Cash,TXN-972442
2025-02-15,Transport,Expense,180.32,Windsor,Ontario,Canada,42.3149,-83.0364,Debit Card,TXN-556839
2025-02-10,Healthcare,Expense,164.35,Detroit,Michigan,United States,42.3314,-83.0458,E-Transfer,TXN-332335
2025-02-09,Utilities,Expense,209.09,Windsor,Ontario,Canada,42.3149,-83.0364,Debit Card,TXN-913934
2025-05-01,Utilities,Expense,50.09,Detroit,Michigan,United States,42.3314,-83.0458,Debit Card,TXN-281926
2025-04-01,Groceries,Expense,381.0,Kitchener,Ontario,Canada,43.4516,-80.4925,Cash,TXN-891093
2025-12-15,Entertainment,Expense,370.42,Ottawa,Ontario,Canada,45.4215,-75.6972,E-Transfer,TXN-757685
2025-02-04,Entertainment,Expense,192.88,Detroit,Michigan,United States,42.3314,-83.0458,E-Transfer,TXN-720148
2025-02-07,Healthcare,Expense,131.06,Kitchener,Ontario,Canada,43.4516,-80.4925,Credit Card,TXN-159653
2025-02-09,Tech,Expense,261.42,Windsor,Ontario,Canada,42.3149,-83.0364,Cash,TXN-585188
2025-08-19,Rent,Expense,1200.0,Ottawa,Ontario,Canada,45.4215,-75.6972,Debit Card,TXN-437145
2025-03-19,Healthcare,Expense,383.51,Kitchener,Ontario,Canada,43.4516,-80.4925,Credit Card,TXN-950360
2026-01-01,Investments,Income,42.89,Toronto,Ontario,Canada,43.6532,-79.3832,Credit Card,TXN-359778
2025-09-26,Entertainment,Expense,213.87,Toronto,Ontario,Canada,43.6532,-79.3832,E-Transfer,TXN-490963
2025-07-29,Gift,Income,312.04,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-927564
2025-02-03,Transport,Expense,138.58,Ottawa,Ontario,Canada,45.4215,-75.6972,Cash,TXN-397949
2025-06-20,Utilities,Expense,41.79,Toronto,Ontario,Canada,43.6532,-79.3832,E-Transfer,TXN-425301
2025-03-08,Gift,Income,242.07,Windsor,Ontario,Canada,42.3149,-83.0364,E-Transfer,TXN-686072
2026-02-21,Transport,Expense,59.84,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-777406
2025-07-05,Healthcare,Expense,17.11,Detroit,Michigan,United States,42.3314,-83.0458,Debit Card,TXN-324597
2025-04-09,Entertainment,Expense,98.35,Toronto,Ontario,Canada,43.6532,-79.3832,Debit Card,TXN-180913
2025-09-17,Groceries,Expense,310.64,Ottawa,Ontario,Canada,45.4215,-75.6972,Credit Card,TXN-794083
2025-11-02,Utilities,Expense,156.92,Toronto,Ontario,Canada,43.6532,-79.3832,Debit Card,TXN-971728
2026-01-05,Utilities,Expense,180.69,Kitchener,Ontario,Canada,43.4516,-80.4925,E-Transfer,TXN-809217
2025-11-09,Entertainment,Expense,121.12,Kitchener,Ontario,Canada,43.4516,-80.4925,Debit Card,TXN-659951
2026-03-04,Entertainment,Expense,85.67,Ottawa,Ontario,Canada,45.4215,-75.6972,Cash,TXN-584106
2025-09-15,Cybersecurity,Expense,215.71,Toronto,Ontario,Canada,43.6532,-79.3832,Debit Card,TXN-940181
2025-01-27,Tech,Expense,260.06,Detroit,Michigan,United States,42.3314,-83.0458,Credit Card,TXN-845957
2025-05-26,Salary,Income,2416.78,Toronto,Ontario,Canada,43.6532,-79.3832,E-Transfer,TXN-571145
2026-03-02,Freelance,Income,180.61,Toronto,Ontario,Canada,43.6532,-79.3832,Cash,TXN-466566
